Covers,CBS,Odds Shark,ESPN,SR Url
AAMU,ALAM,Alabama A&M,Alabama A&M Bulldogs,alabama-am
ACU,ABIL,Abilene Christian,Abilene Christian Wildcats,abilene-christian
AFA,AF,Air Force,Air Force Falcons,air-force
AKR,AKRON,Akron,Akron Zips,akron
ALA,BAMA,Alabama,Alabama Crimson Tide,alabama
ALBY,ALBANY,Albany,Albany Great Danes,albany-ny
ALCN,ALCORN,Alcorn State,Alcorn State Braves,alcorn-state
ALST,ALST,Alabama State,Alabama State Hornets,alabama-state
AMCC,TXAMCC,Texas A&M-Corpus Christi,Texas A&M-CC Islanders,texas-am-corpus-christi
AMER,AMER,American,American University Eagles,american
APP,APPST,Appalachian State,Appalachian State Mountaineers,appalachian-state
ARIZ,ARIZ,Arizona,Arizona Wildcats,arizona
ARK,ARK,Arkansas,Arkansas Razorbacks,arkansas
ARMY,ARMY,Army,Army Black Knights,army
ARPB,ARKPB,Arkansas-Pine Bluff,Arkansas-Pine Bluff Golden Lions,arkansas-pine-bluff
ARST,ARKST,Arkansas State,Arkansas State Red Wolves,arkansas-state
ASU,ARIZST,Arizona State,Arizona State Sun Devils,arizona-state
AUB,AUBURN,Auburn,Auburn Tigers,auburn
BALL,BALLST,Ball State,Ball State Cardinals,ball-state
BAY,BAYLOR,Baylor,Baylor Bears,baylor
BC,BC,Boston College,Boston College Eagles,boston-college
BEL,BELMONT,Belmont,Belmont Bruins,belmont
BELL,BELLAR,Bellarmine,Bellarmine Knights,bellarmine
BGSU,BGREEN,Bowling Green,Bowling Green Falcons,bowling-green-state
BING,BING,Binghamton,Binghamton Bearcats,binghamton
BRAD,BRAD,Bradley,Bradley Braves,bradley
BRWN,BROWN,Brown,Brown Bears,brown
BRY,BRYANT,Bryant,Bryant Bulldogs,bryant
BSU,BOISE,Boise State,Boise State Broncos,boise-state
BU,BU,Boston University,Boston University Terriers,boston-university
BUCK,BUCK,Bucknell,Bucknell Bison,bucknell
BUFF,BUFF,Buffalo,Buffalo Bulls,buffalo
BUT,BUTLER,Butler,Butler Bulldogs,butler
BYU,BYU,BYU,BYU Cougars,brigham-young
CAL,CAL,California,California Golden Bears,california
CALBA,CALBPTST,Cal Baptist,California Baptist Lancers,california-baptist
CAMP,CAMP,Campbell,Campbell Fighting Camels,campbell
CAN,CAN,Canisius,Canisius Golden Griffins,canisius
CARK,CARK,Central Arkansas,Central Arkansas Bears,central-arkansas
CCSU,CCTST,Central Connecticut State,Central Connecticut Blue Devils,central-connecticut-state
CCU,CSTCAR,Coastal Carolina,Coastal Carolina Chanticleers,coastal-carolina
CHAR,CHARLO,Charlotte,Charlotte 49ers,charlotte
CHAT,CHATT,Chattanooga,Chattanooga Mocs,chattanooga
CHS,CHIST,Chicago State,Chicago State Cougars,chicago-state
CHSO,CHARSO,Charleston Southern,Charleston Southern Buccaneers,charleston-southern
CIN,CINCY,Cincinnati,Cincinnati Bearcats,cincinnati
CIT,CIT,The Citadel,The Citadel Bulldogs,citadel
CLEM,CLEM,Clemson,Clemson Tigers,clemson
CLEVST,CLEVST,Cleveland State,Cleveland State Vikings,cleveland-state
CLMB,CLMB,Columbia,Columbia Lions,columbia
CMU,CMICH,Central Michigan,Central Michigan Chippewas,central-michigan
COFC,CHARLS,College of Charleston,Charleston Cougars,college-of-charleston
COLG,COLG,Colgate,Colgate Raiders,colgate
COLO,COLO,Colorado,Colorado Buffaloes,colorado
CONN,UCONN,Connecticut,UConn Huskies,connecticut
COOK,BCU,Bethune-Cookman,Bethune-Cookman Wildcats,bethune-cookman
COPP,COPPST,Coppin State,Coppin State Eagles,coppin-state
COR,CORN,Cornell,Cornell Big Red,cornell
CP,CPOLY,Cal Poly,Cal Poly Mustangs,cal-poly
CREI,CREIGH,Creighton,Creighton Bluejays,creighton
CSB,CSBAK,Cal State-Bakersfield,CSU Bakersfield Roadrunners,cal-state-bakersfield
CSF,CSFULL,Cal State-Fullerton,CSU Fullerton Titans,cal-state-fullerton
CSN,CSN,Cal State-Northridge,CSU Northridge Matadors,cal-state-northridge
CSU,COLOST,Colorado State,Colorado State Rams,colorado-state
CSUS,SACST,Sacramento State,Sacramento State Hornets,sacramento-state
CWM,WMMARY,William & Mary,William & Mary Tribe,william-mary
DART,DART,Dartmouth,Dartmouth Big Green,dartmouth
DAV,DAVID,Davidson,Davidson Wildcats,davidson
DAY,DAYTON,Dayton,Dayton Flyers,dayton
DEL,DEL,Delaware,Delaware Blue Hens,delaware
DEN,DENVER,Denver,Denver Pioneers,denver
DEP,DEPAUL,DePaul,DePaul Blue Demons,depaul
DETU,DTROIT,Detroit,Detroit Mercy Titans,detroit-mercy
DREX,DREXEL,Drexel,Drexel Dragons,drexel
DRKE,DRAKE,Drake,Drake Bulldogs,drake
DSTATE,DIXIST,Dixie State,Dixie State Trailblazers,dixie-state
DSU,DELST,Delaware State,Delaware State Hornets,delaware-state
DUKE,DUKE,Duke,Duke Blue Devils,duke
DUQ,DUQ,Duquesne,Duquesne Dukes,duquesne
ECU,ECU,East Carolina,East Carolina Pirates,east-carolina
EIU,EILL,Eastern Illinois,Eastern Illinois Panthers,eastern-illinois
EKY,EKY,Eastern Kentucky,Eastern Kentucky Colonels,eastern-kentucky
ELON,ELON,Elon,Elon Phoenix,elon
EMU,EMICH,Eastern Michigan,Eastern Michigan Eagles,eastern-michigan
ETSU,ETNST,East Tennessee State,East Tennessee State Buccaneers,east-tennessee-state
EVAN,EVAN,Evansville,Evansville Purple Aces,evansville
EWU,EWASH,Eastern Washington,Eastern Washington Eagles,eastern-washington
FAIR,FAIR,Fairfield,Fairfield Stags,fairfield
FAMU,FAMU,Florida A&M,Florida A&M Rattlers,florida-am
FAU,FAU,Florida Atlantic,Florida Atlantic Owls,florida-atlantic
FDU,FDU,Fairleigh Dickinson,Fairleigh Dickinson Knights,fairleigh-dickinson
FGCU,FGC,Florida Gulf Coast,Florida Gulf Coast Eagles,florida-gulf-coast
FIU,FIU,Florida International,Florida International Panthers,florida-international
FLA,FLA,Florida,Florida Gators,florida
FOR,FORD,Fordham,Fordham Rams,fordham
FRES,FRESNO,Fresno State,Fresno State Bulldogs,fresno-state
FSU,FSU,Florida State,Florida State Seminoles,florida-state
FUR,FURMAN,Furman,Furman Paladins,furman
GASO,GASOU,Georgia Southern,Georgia Southern Eagles,georgia-southern
GMU,GMASON,George Mason,George Mason Patriots,george-mason
GONZ,GONZAG,Gonzaga,Gonzaga Bulldogs,gonzaga
GRAM,GRAM,Grambling State,Grambling Tigers,grambling
GRC,GC,Grand Canyon,Grand Canyon Antelopes,grand-canyon
GSU,GAST,Georgia State,Georgia State Panthers,georgia-state
GT,GATECH,Georgia Tech,Georgia Tech Yellow Jackets,georgia-tech
GTWN,GTOWN,Georgetown University,Georgetown Hoyas,georgetown
GW,GWASH,George Washington,George Washington Colonials,george-washington
HALL,SETON,Seton Hall,Seton Hall Pirates,seton-hall
HAMP,HAMP,Hampton,Hampton Pirates,hampton
HART,HARTFD,Hartford,Hartford Hawks,hartford
HARV,HARV,Harvard,Harvard Crimson,harvard
HAW,HAWAII,Hawaii,Hawai'i Rainbow Warriors,hawaii
HCU,HOUBP,Houston Baptist,Houston Christian Huskies,houston-baptist
HC,HOLY,Holy Cross,Holy Cross Crusaders,holy-cross
HOF,HOFSTRA,Hofstra,Hofstra Pride,hofstra
HOU,HOU,Houston,Houston Cougars,houston
HOW,HOW,Howard,Howard Bison,howard
HP,HIGHPT,High Point,High Point Panthers,high-point
IDHO,IDAHO,Idaho,Idaho Vandals,idaho
IDST,IDST,Idaho State,Idaho State Bengals,idaho-state
ILL,ILL,Illinois,Illinois Fighting Illini,illinois
ILST,ILLST,Illinois State,Illinois State Redbirds,illinois-state
IND,IND,Indiana,Indiana Hoosiers,indiana
INDPU,IUPUI,IUPUI,IUPUI Jaguars,iupui
INST,INDST,Indiana State,Indiana State Sycamores,indiana-state
IONA,IONA,Iona,Iona Gaels,iona
IOWA,IOWA,Iowa,Iowa Hawkeyes,iowa
ISU,IOWAST,Iowa State,Iowa State Cyclones,iowa-state
IW,UIW,Incarnate Word,Incarnate Word Cardinals,incarnate-word
JAC,JVILLE,Jacksonville,Jacksonville Dolphins,jacksonville
JKST,JACKST,Jackson State,Jackson State Tigers,jackson-state
JMU,JMAD,James Madison,James Madison Dukes,james-madison
JVST,JAXST,Jacksonville State,Jacksonville State Gamecocks,jacksonville-state
KC,UMKC,UMKC,Kansas City Roos,missouri-kansas-city
KENN,KENSAW,Kennesaw State,Kennesaw State Owls,kennesaw-state
KENT,KENTST,Kent State,Kent State Golden Flashes,kent-state
KSU,KSTATE,Kansas State,Kansas State Wildcats,kansas-state
KU,KANSAS,Kansas,Kansas Jayhawks,kansas
